event_type,event_cause,latitude,longitude,requires_road_closure,start_datetime,status,corridor,priority,police_station,zone,junction,hour,weekday,is_weekend,fingerprint
unplanned,vehicle_breakdown,13.0400041,77.5180991,False,2024-03-07 17:01:48.111000+00:00,closed,Tumkur Road,High,Peenya,Unknown,Unknown,17.0,Thursday,False,"
    Event Type: unplanned
    Cause: vehicle_breakdown
    Corridor: Tumkur Road
    Police Station: Peenya
    Zone: Unknown
    Priority: High
    Road Closure: False
    Hour: 17.0
    Day: Thursday
    Weekend: False
    "
unplanned,vehicle_breakdown,12.9218755,77.6451585,False,2024-01-30 04:07:24.173000+00:00,resolved,ORR East 1,High,HSR Layout,Unknown,Unknown,4.0,Tuesday,False,"
    Event Type: unplanned
    Cause: vehicle_breakdown
    Corridor: ORR East 1
    Police Station: HSR Layout
    Zone: Unknown
    Priority: High
    Road Closure: False
    Hour: 4.0
    Day: Tuesday
    Weekend: False
    "
unplanned,others,12.955622,77.5857083,False,2023-11-11 06:18:03.343000+00:00,closed,Non-corridor,Low,Wilson Garden,Central Zone 2,UrvashiJunction,6.0,Saturday,True,"
    Event Type: unplanned
    Cause: others
    Corridor: Non-corridor
    Police Station: Wilson Garden
    Zone: Central Zone 2
    Priority: Low
    Road Closure: False
    Hour: 6.0
    Day: Saturday
    Weekend: True
    "
unplanned,tree_fall,13.0061469,77.5794348,True,2024-03-07 17:56:55.061000+00:00,closed,Non-corridor,Low,Sadashivanagar,Unknown,Unknown,17.0,Thursday,False,"
    Event Type: unplanned
    Cause: tree_fall
    Corridor: Non-corridor
    Police Station: Sadashivanagar
    Zone: Unknown
    Priority: Low
    Road Closure: True
    Hour: 17.0
    Day: Thursday
    Weekend: False
    "
unplanned,vehicle_breakdown,12.95398,77.5852333,False,2024-01-30 04:56:32.348000+00:00,closed,Non-corridor,Low,Wilson Garden,Unknown,LalbaghMainGateJunc,4.0,Tuesday,False,"
    Event Type: unplanned
    Cause: vehicle_breakdown
    Corridor: Non-corridor
    Police Station: Wilson Garden
    Zone: Unknown
    Priority: Low
    Road Closure: False
    Hour: 4.0
    Day: Tuesday
    Weekend: False
    "
unplanned,accident,13.0664854,77.5998755,False,2023-11-28 03:07:27.292421+00:00,closed,Non-corridor,Low,Hebbala,North Zone 1,Unknown,3.0,Tuesday,False,"
    Event Type: unplanned
    Cause: accident
    Corridor: Non-corridor
    Police Station: Hebbala
    Zone: North Zone 1
    Priority: Low
    Road Closure: False
    Hour: 3.0
    Day: Tuesday
    Weekend: False
    "
unplanned,vehicle_breakdown,12.9328703,77.4879814,False,2024-01-30 07:26:26.739000+00:00,closed,Non-corridor,Low,Kengeri,Unknown,Unknown,7.0,Tuesday,False,"
    Event Type: unplanned
    Cause: vehicle_breakdown
    Corridor: Non-corridor
    Police Station: Kengeri
    Zone: Unknown
    Priority: Low
    Road Closure: False
    Hour: 7.0
    Day: Tuesday
    Weekend: False
    "
unplanned,others,12.973175,77.6003961,False,2024-01-30 06:05:59.339000+00:00,closed,Non-corridor,Low,Cubbon Park,Unknown,Unknown,6.0,Tuesday,False,"
    Event Type: unplanned
    Cause: others
    Corridor: Non-corridor
    Police Station: Cubbon Park
    Zone: Unknown
    Priority: Low
    Road Closure: False
    Hour: 6.0
    Day: Tuesday
    Weekend: False
    "
planned,public_event,12.97883573,77.59953728,False,,closed,CBD 2,High,Cubbon Park,Unknown,QueensStatueCircle,,,False,"
    Event Type: planned
    Cause: public_event
    Corridor: CBD 2
    Police Station: Cubbon Park
    Zone: Unknown
    Priority: High
    Road Closure: False
    Hour: nan
    Day: nan
    Weekend: False
    "
unplanned,vehicle_breakdown,13.0373543,77.6540442,False,2024-01-30 05:25:50.078000+00:00,closed,Non-corridor,Low,Hennuru,Unknown,Unknown,5.0,Tuesday,False,"
    Event Type: unplanned
    Cause: vehicle_breakdown
    Corridor: Non-corridor
    Police Station: Hennuru
    Zone: Unknown
    Priority: Low
    Road Closure: False
    Hour: 5.0
    Day: Tuesday
    Weekend: False
    "
unplanned,water_logging,13.0008457,77.6813712,False,2024-03-07 18:01:40.182000+00:00,closed,ORR East 2,High,K.R. Pura,Unknown,Unknown,18.0,Thursday,False,"
    Event Type: unplanned
    Cause: water_logging
    Corridor: ORR East 2
    Police Station: K.R. Pura
    Zone: Unknown
    Priority: High
    Road Closure: False
    Hour: 18.0
    Day: Thursday
    Weekend: False
    "
unplanned,vehicle_breakdown,12.94457,77.5274017,False,2024-01-30 05:21:06.975000+00:00,closed,ORR West 1,High,Byatarayanapura,Unknown,MysoreRd-RingRdJunc(Nayandanahallii),5.0,Tuesday,False,"
    Event Type: unplanned
    Cause: vehicle_breakdown
    Corridor: ORR West 1
    Police Station: Byatarayanapura
    Zone: Unknown
    Priority: High
    Road Closure: False
    Hour: 5.0
    Day: Tuesday
    Weekend: False
    "
unplanned,water_logging,12.9995223,77.6827499,False,2024-03-07 18:00:05.020000+00:00,active,ORR East 2,High,Mahadevapura,Unknown,Unknown,18.0,Thursday,False,"
    Event Type: unplanned
    Cause: water_logging
    Corridor: ORR East 2
    Police Station: Mahadevapura
    Zone: Unknown
    Priority: High
    Road Closure: False
    Hour: 18.0
    Day: Thursday
    Weekend: False
    "
unplanned,others,13.0418933,77.594705,False,2023-12-26 19:15:28.124000+00:00,closed,ORR North 1,High,Hebbala,North Zone 1,HebbalFlyoverJunc,19.0,Tuesday,False,"
    Event Type: unplanned
    Cause: others
    Corridor: ORR North 1
    Police Station: Hebbala
    Zone: North Zone 1
    Priority: High
    Road Closure: False
    Hour: 19.0
    Day: Tuesday
    Weekend: False
    "
unplanned,pot_holes,12.975285,77.6256902,False,2024-03-07 19:26:15.604000+00:00,active,Old Madras Road,High,Halasur,Unknown,Unknown,19.0,Thursday,False,"
    Event Type: unplanned
    Cause: pot_holes
    Corridor: Old Madras Road
    Police Station: Halasur
    Zone: Unknown
    Priority: High
    Road Closure: False
    Hour: 19.0
    Day: Thursday
    Weekend: False
    "
unplanned,others,13.0633917,77.5933483,False,2024-03-07 19:10:21.930000+00:00,active,Bellary Road 2,High,Kodigehalli,Unknown,Unknown,19.0,Thursday,False,"
    Event Type: unplanned
    Cause: others
    Corridor: Bellary Road 2
    Police Station: Kodigehalli
    Zone: Unknown
    Priority: High
    Road Closure: False
    Hour: 19.0
    Day: Thursday
    Weekend: False
    "
unplanned,others,13.063425,77.5933,False,2024-03-07 19:11:15.565000+00:00,active,Bellary Road 2,High,Kodigehalli,Unknown,Unknown,19.0,Thursday,False,"
    Event Type: unplanned
    Cause: others
    Corridor: Bellary Road 2
    Police Station: Kodigehalli
    Zone: Unknown
    Priority: High
    Road Closure: False
    Hour: 19.0
    Day: Thursday
    Weekend: False
    "
unplanned,others,13.0254527,77.6417388,False,2024-03-07 19:18:29.890000+00:00,active,ORR North 1,High,Hennuru,Unknown,Unknown,19.0,Thursday,False,"
    Event Type: unplanned
    Cause: others
    Corridor: ORR North 1
    Police Station: Hennuru
    Zone: Unknown
    Priority: High
    Road Closure: False
    Hour: 19.0
    Day: Thursday
    Weekend: False
    "
unplanned,tree_fall,12.9233517,77.5904883,False,2024-03-07 19:39:29.764000+00:00,closed,Non-corridor,Low,Jayanagara,Unknown,Unknown,19.0,Thursday,False,"
    Event Type: unplanned
    Cause: tree_fall
    Corridor: Non-corridor
    Police Station: Jayanagara
    Zone: Unknown
    Priority: Low
    Road Closure: False
    Hour: 19.0
    Day: Thursday
    Weekend: False
    "
unplanned,vehicle_breakdown,13.0001393,77.5840594,False,2024-01-30 04:49:17.231000+00:00,closed,Bellary Road 1,High,Sadashivanagar,Unknown,Unknown,4.0,Tuesday,False,"
    Event Type: unplanned
    Cause: vehicle_breakdown
    Corridor: Bellary Road 1
    Police Station: Sadashivanagar
    Zone: Unknown
    Priority: High
    Road Closure: False
    Hour: 4.0
    Day: Tuesday
    Weekend: False
    "
unplanned,vehicle_breakdown,12.9071221,77.6286395,False,2024-03-07 19:25:04.302000+00:00,closed,Hosur Road,High,Madiwala,Unknown,Unknown,19.0,Thursday,False,"
    Event Type: unplanned
    Cause: vehicle_breakdown
    Corridor: Hosur Road
    Police Station: Madiwala
    Zone: Unknown
    Priority: High
    Road Closure: False
    Hour: 19.0
    Day: Thursday
    Weekend: False
    "
unplanned,tree_fall,12.927375,77.5806883,True,2024-03-07 19:45:16.034000+00:00,closed,Non-corridor,Low,Jayanagara,Unknown,Unknown,19.0,Thursday,False,"
    Event Type: unplanned
    Cause: tree_fall
    Corridor: Non-corridor
    Police Station: Jayanagara
    Zone: Unknown
    Priority: Low
    Road Closure: True
    Hour: 19.0
    Day: Thursday
    Weekend: False
    "
unplanned,pot_holes,12.9169074,77.5950955,False,2024-01-05 22:35:41.185000+00:00,closed,Non-corridor,Low,Jayanagara,South Zone 1,28thMainJayanagarJunc,22.0,Friday,False,"
    Event Type: unplanned
    Cause: pot_holes
    Corridor: Non-corridor
    Police Station: Jayanagara
    Zone: South Zone 1
    Priority: Low
    Road Closure: False
    Hour: 22.0
    Day: Friday
    Weekend: False
    "
unplanned,pot_holes,12.9667047,77.6615983,False,2024-01-30 08:32:47.117000+00:00,active,Unknown,Low,Jeevanbheemanagar,Unknown,Unknown,8.0,Tuesday,False,"
    Event Type: unplanned
    Cause: pot_holes
    Corridor: Unknown
    Police Station: Jeevanbheemanagar
    Zone: Unknown
    Priority: Low
    Road Closure: False
    Hour: 8.0
    Day: Tuesday
    Weekend: False
    "
unplanned,water_logging,12.8966387,77.7202071,False,2024-03-07 19:55:24.461000+00:00,active,Non-corridor,Low,Whitefield,Unknown,Unknown,19.0,Thursday,False,"
    Event Type: unplanned
    Cause: water_logging
    Corridor: Non-corridor
    Police Station: Whitefield
    Zone: Unknown
    Priority: Low
    Road Closure: False
    Hour: 19.0
    Day: Thursday
    Weekend: False
    "
unplanned,tree_fall,12.9463911,77.597326,True,2024-03-07 06:09:19.361000+00:00,closed,Non-corridor,Low,Wilson Garden,Unknown,Unknown,6.0,Thursday,False,"
    Event Type: unplanned
    Cause: tree_fall
    Corridor: Non-corridor
    Police Station: Wilson Garden
    Zone: Unknown
    Priority: Low
    Road Closure: True
    Hour: 6.0
    Day: Thursday
    Weekend: False
    "
unplanned,pot_holes,12.9856042,77.5977438,False,2024-01-30 08:35:04.399000+00:00,active,Unknown,High,Shivajinagar,Unknown,Unknown,8.0,Tuesday,False,"
    Event Type: unplanned
    Cause: pot_holes
    Corridor: Unknown
    Police Station: Shivajinagar
    Zone: Unknown
    Priority: High
    Road Closure: False
    Hour: 8.0
    Day: Tuesday
    Weekend: False
    "
